TOP PROSPECTS LIST — 2026 UPDATE
=================================
Sources: Bleacher Report (ranks 1-100) | ESPN/Kiley McDaniel (ranks 101-200)
Note: (*) = player appears in BR top 100 but ranked lower by ESPN; shown at their BR rank below.
Generated: April 2026

Rank  Name                      Pos   Team
  77  Brandon Sproat            RHP   MIL
  78  Kyson Witherspoon         RHP   BOS
  79  Eduardo Tait              C     MIN
  80  Cam Caminiti              LHP   ATL
  81  Logan Henderson           RHP   MIL
  82  Jaxon Wiggins             RHP   CHC
  83  AJ Ewing                  OF    NYM
  84  Parker Messick            LHP   CLE
  85  Travis Sykora             RHP   WSH
  86  Joshua Baez               OF    STL
  87  Carlos Lagrange           RHP   NYY    (*)
  88  Tyler Bremner             RHP   LAA
  89  Elmer Rodriguez           RHP   NYY
  90  Trey Gibson               RHP   BAL
  91  Ethan Salas               C     SD     (*)
  92  JR Ritchie                RHP   ATL
  93  Kayson Cunningham         SS    ARI    (*)
  94  Hagen Smith               LHP   CWS    (*)
  95  Emil Morales              SS    LAD
  96  Dax Kilby                 SS    NYY    (*)
  97  Jacob Melton              OF    TB
  98  Jurrangelo Cijntje        RHP   STL
  99  Tyson Lewis               SS    CIN
 100  Caden Scarborough         RHP   TEX

— RANKS 101–200 (ESPN / Kiley McDaniel) —
  Players marked (*) above already appear in BR top 100 at a higher rank.

 101  Max Anderson              2B    DET
 102  Tommy Troy                2B    ARI
 103  Alex Freeland             SS    LAD
 104  Wyatt Sanford             SS    PIT
 105  Felnin Celesten           SS    SEA
 106  Ryan Clifford             OF    NYM
 107  Jefferson Rojas           SS    CHC
 109  Brice Matthews            2B    HOU
 111  Zach Ehrhard              OF    LAD
 112  Denzer Guzman             SS    LAA
 114  Nate George               OF    BAL
 115  Elian Pena                SS    NYM
 116  Jose Corniell             RHP   TEX
 117  Gavin Fien                3B    WSH
 118  Christian Oppor           LHP   CWS
 120  Roc Riggio                2B    COL
 121  Luke Dickerson            SS    WSH
 122  JD Dix                    2B    ARI
 124  Kendry Chourio            RHP   KC
 125  River Ryan                RHP   LAD
 126  Steele Hall               SS    CIN
 128  Jackson Ferris            LHP   LAD
 129  Termarr Johnson           2B    PIT
 130  Gabriel Gonzalez          OF    MIN
 131  James Tibbs III           OF    LAD
 132  Josh Hammond              SS    KC
 133  Devin Fitz-Gerald         SS    WSH
 134  Demetrio Crisantes        2B    ARI
 135  Enrique Bradfield Jr.     OF    BAL
 137  Kevin DeFrank             RHP   MIA
 138  Jacob Reimer              3B    NYM
 139  Esteban Mejia             RHP   BAL
 140  Jhostynxon Garcia         OF    PIT
 141  Winston Santos            RHP   TEX
 142  Luis Hernandez            SS    SF
 143  Blake Mitchell            C     KC
 144  Thayron Liranzo           C     DET
 145  Kruz Schoolcraft          LHP   SD
 146  Xavier Isaac              1B    TB
 147  George Klassen            RHP   LAA
 148  Luke Adams                1B    MIL
 149  Ryan Johnson              RHP   LAA
 150  Quinn Mathews             LHP   STL
 151  Ricky Tiedemann           LHP   TOR
 152  Juneiker Caceres          OF    CLE
 153  Josh Adamczewski          2B    MIL
 154  Santiago Suarez           RHP   TB
 155  Andrew Fischer            3B    MIL
 156  Christian Zazueta         RHP   LAD
 157  Ike Irish                 OF    BAL
 158  Michael Forret            RHP   TB
 160  Nelson Rada               OF    LAA
 161  Dasan Hill                LHP   MIN
 162  Kohl Drake                LHP   ARI
 163  Kendry Rojas              LHP   MIN
 164  Tanner McDougal           RHP   CWS
 165  Luis Lara                 OF    MIL
 166  Marek Houston             SS    MIN
 167  Sam Shaw                  2B    TOR
 168  Gabriel Rincones Jr.      OF    PHI
 169  Gage Wood                 RHP   PHI
 170  Tyson Lewis               SS    CIN
 171  David Hagaman             RHP   ARI
 172  Luis De Leon              LHP   BAL
 173  Gavin Kilen               SS    SF
 174  Anderson Brito            RHP   TB
 175  Esmerlyn Valdez           OF    PIT
 176  Jonathan Santucci         LHP   NYM
 177  Spencer Jones             OF    NYY
 178  Walker Janek              C     HOU
 179  Tink Hence                RHP   STL
 180  Cooper Ingle              C     CLE
 181  Hunter Barco              LHP   PIT
 182  Seaver King               SS    WSH
 183  Alfonsin Rosario          OF    CLE
 184  Brailer Guerrero          OF    TB
 185  Xavier Neyens             3B    HOU
 186  Bo Davidson               OF    SF
 187  Cam Collier               1B    CIN
 188  Jace Laviolette           OF    CLE
 190  Alejandro Rosario         RHP   WSH
 191  Wandy Asigen              SS    NYM
 192  Owen Murphy               RHP   ATL
 193  Brandon Clarke            LHP   STL
 194  Daniel Pierce             SS    TB
 195  Boston Bateman            LHP   BAL
 196  Adam Serwinowski          LHP   LAD
 197  Aroon Escobar             2B    PHI
 198  Pedro Ramirez             3B    CHC
 199  William Bergolla          SS    CWS
 200  Cam Cannarella            OF    MIA

=================================
NOTABLE CHANGES FROM PREVIOUS LIST
=================================
NEW entries (not previously tracked):
  - Jamie Arnold, LHP, ATH (#43)
  - Michael Arroyo, 2B, SEA (#63)
  - Cooper Pratt, SS, MIL (#70)
  - Billy Carlson, SS, CWS (#73)
  - Kyson Witherspoon, RHP, BOS (#78)
  - Parker Messick, LHP, CLE (#84)
  - Joshua Baez, OF, STL (#86)
  - Tyler Bremner, RHP, LAA (#88)
  - Elmer Rodriguez, RHP, NYY (#89)
  - Emil Morales, SS, LAD (#95)
  - Jacob Melton, OF, TB (#97)

DROPPED from previous list (not ranked 1-200 by either source):
  - Sal Stewart now 3B/CIN (#18 — still present)
  - Jhostynxon Garcia dropped to #140
  - Jeferson Quero not ranked
  - Cam Caminiti still present (#80)
  - Jack Wenninger not ranked
  - Jimmy Crooks not ranked
  - Charlie Condon moved to #76
